"season","posteam","pass_attempts","rush_attempts","pass_yards","rush_yards","pass_run_ratio","third_down_attempts","third_down_conversions","fourth_down_attempts","fourth_down_conversions","total_late_attempts","total_late_conversions","conversion_rate","dropbacks","sacks","sack_rate","success_plays","total_plays","success_rate"
2018,"NO",668,497,4724,2238,1.34406438631791,220,105,20,17,240,122,0.508333333333333,668,24,0.0359281437125748,571,1165,0.490128755364807
2018,"NYG",663,360,4405,1656,1.84166666666667,211,82,22,13,233,95,0.407725321888412,663,47,0.0708898944193062,409,1023,0.39980449657869
2018,"NYJ",600,389,3404,1632,1.54241645244216,217,74,22,11,239,85,0.355648535564854,600,37,0.0616666666666667,367,989,0.37108190091001
2018,"PHI",768,423,4991,1674,1.81560283687943,232,99,25,16,257,115,0.447470817120623,768,41,0.0533854166666667,547,1191,0.459277917716205
2018,"PIT",772,328,5174,1462,2.35365853658537,209,95,14,9,223,104,0.466367713004484,772,24,0.0310880829015544,524,1100,0.476363636363636
2018,"SEA",565,536,3681,2645,1.05410447761194,230,94,17,14,247,108,0.437246963562753,565,52,0.0920353982300885,483,1101,0.438692098092643
2018,"SF",636,406,4247,1917,1.56650246305419,205,84,10,5,215,89,0.413953488372093,636,48,0.0754716981132075,466,1042,0.44721689059501
2018,"TB",771,336,5358,1532,2.29464285714286,201,97,14,10,215,107,0.497674418604651,771,41,0.053177691309987,496,1107,0.448057813911472
2018,"TEN",548,429,3255,2032,1.27738927738928,215,90,13,8,228,98,0.429824561403509,548,47,0.0857664233576642,416,977,0.425793244626407
2018,"WAS",630,380,3287,1782,1.65789473684211,220,81,18,10,238,91,0.382352941176471,630,44,0.0698412698412698,428,1010,0.423762376237624
2019,"ARI",671,364,3797,2007,1.84340659340659,207,78,21,14,228,92,0.403508771929825,671,50,0.0745156482861401,444,1035,0.428985507246377
2019,"ATL",805,344,5049,1373,2.34011627906977,226,104,21,13,247,117,0.473684210526316,805,50,0.062111801242236,509,1149,0.442993907745866
2019,"BAL",601,572,3715,3498,1.0506993006993,210,103,28,17,238,120,0.504201680672269,601,32,0.0532445923460899,558,1173,0.475703324808184
2019,"BUF",679,452,3756,2239,1.50221238938053,250,93,20,9,270,102,0.377777777777778,679,43,0.0633284241531664,474,1131,0.419098143236074
2019,"CAR",741,367,4134,1824,2.01907356948229,212,72,25,13,237,85,0.358649789029536,741,58,0.0782726045883941,479,1108,0.432310469314079
2019,"CHI",685,375,3573,1464,1.82666666666667,227,89,21,7,248,96,0.387096774193548,685,45,0.0656934306569343,436,1060,0.411320754716981
2019,"CIN",712,371,3994,1529,1.91913746630728,231,90,29,15,260,105,0.403846153846154,712,48,0.0674157303370786,437,1083,0.403508771929825
2019,"CLE",650,381,3847,1907,1.70603674540682,208,80,21,10,229,90,0.393013100436681,650,41,0.0630769230769231,426,1031,0.413191076624636
2019,"DAL",679,431,4902,2163,1.5754060324826,217,104,16,7,233,111,0.476394849785408,679,23,0.0338733431516937,541,1110,0.487387387387387
2019,"DEN",607,394,3401,1674,1.54060913705584,213,74,17,12,230,86,0.373913043478261,607,41,0.0675453047775947,403,1001,0.402597402597403
2019,"DET",681,386,4187,1658,1.76424870466321,233,93,14,5,247,98,0.396761133603239,681,43,0.0631424375917768,442,1067,0.414245548266167
2019,"GB",761,414,4586,1994,1.83816425120773,239,102,18,11,257,113,0.439688715953307,761,41,0.0538764783180026,523,1175,0.445106382978723
2019,"HOU",767,433,4718,2256,1.77136258660508,238,105,32,14,270,119,0.440740740740741,767,61,0.0795306388526728,543,1200,0.4525
2019,"IND",617,441,3314,2144,1.39909297052154,222,100,25,15,247,115,0.465587044534413,617,32,0.0518638573743922,472,1058,0.446124763705104
2019,"JAX",733,344,4023,1720,2.13081395348837,227,80,27,15,254,95,0.374015748031496,733,42,0.0572987721691678,424,1077,0.393686165273909
2019,"KC",835,397,5591,1965,2.10327455919395,249,119,14,9,263,128,0.486692015209125,835,32,0.0383233532934132,593,1232,0.481331168831169
2019,"LA",711,387,4669,1512,1.83720930232558,220,91,14,4,234,95,0.405982905982906,711,22,0.0309423347398031,486,1098,0.442622950819672
2019,"LAC",682,363,4648,1460,1.87878787878788,202,91,19,11,221,102,0.461538461538462,682,34,0.0498533724340176,495,1045,0.473684210526316
2019,"LV",586,426,4110,1900,1.37558685446009,206,91,19,11,225,102,0.453333333333333,586,29,0.0494880546075085,453,1012,0.447628458498024
2019,"MIA",759,309,4117,1168,2.45631067961165,219,84,28,13,247,97,0.392712550607287,759,58,0.0764163372859025,443,1068,0.414794007490637
2019,"MIN",610,519,4143,2304,1.17533718689788,235,107,17,8,252,115,0.456349206349206,610,37,0.060655737704918,469,1129,0.41541186891054
2019,"NE",734,459,4362,1815,1.59912854030501,256,103,18,8,274,111,0.405109489051095,734,28,0.0381471389645777,506,1193,0.424140821458508
2019,"NO",694,402,4689,1855,1.72636815920398,210,90,14,5,224,95,0.424107142857143,694,28,0.0403458213256484,513,1096,0.468065693430657
2019,"NYG",725,337,4070,1690,2.1513353115727,226,90,31,14,257,104,0.404669260700389,725,43,0.0593103448275862,444,1062,0.418079096045198
2019,"NYJ",626,375,3443,1272,1.66933333333333,225,76,19,7,244,83,0.34016393442623,626,52,0.0830670926517572,375,1001,0.374625374625375
2019,"PHI",760,457,4240,2070,1.66301969365427,251,115,27,9,278,124,0.446043165467626,760,44,0.0578947368421053,541,1217,0.444535743631882
2019,"PIT",607,377,3214,1464,1.61007957559682,208,79,15,2,223,81,0.36322869955157,607,32,0.0527182866556837,378,984,0.384146341463415
2019,"SEA",736,471,4712,2392,1.56263269639066,235,95,16,9,251,104,0.414342629482072,736,54,0.0733695652173913,549,1207,0.454846727423364
2019,"SF",633,580,4456,2942,1.09137931034483,244,115,16,9,260,124,0.476923076923077,633,40,0.0631911532385466,554,1213,0.456718878812861
2019,"TB",747,371,5127,1534,2.01347708894879,220,94,19,10,239,104,0.435146443514644,747,47,0.0629183400267738,490,1118,0.438282647584973
2019,"TEN",637,506,4360,2746,1.25889328063241,228,91,17,6,245,97,0.395918367346939,637,61,0.0957613814756672,519,1143,0.454068241469816
2019,"WAS",581,347,3205,1588,1.67435158501441,187,57,15,7,202,64,0.316831683168317,581,50,0.0860585197934595,359,928,0.386853448275862
